"ID","Name","Sex","Age","Height","Weight","Team","NOC","Year","Season","Sport","Event","Country","host","TeamEvent","n_medals"
99485,"Andrs Rdli",1,40,193,83,"Hungary","HUN",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,1
78801,"Marcus John Charles Mepstead",1,34,183,78,"Great Britain","GBR",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
69930,"Rubn Daro Limardo Gascn",1,39,175,75,"Other","VEN",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,1
42730,"Rossella Gregorio",0,33,164,60,"Italy","ITA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
31023,"Yekaterina Vladimirovna Dyachenko",0,36,167,53,"Other","RUS",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
49661,"Daryl Homer",1,34,173,74,"United States","USA",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,1
15769,"Manon Brunet",0,28,165,55,"France","FRA",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",1,0,0
62254,"Violetta Vitalyevna Kolobova",0,33,176,64,"Other","RUS",2024,"Summer","Fencing","Fencing Women's epee, Team","Brazil",0,1,1
62321,"Alina Ivanivna Komashchuk",0,31,169,75,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Sabre, Individual","Brazil",0,0,0
62321,"Alina Ivanivna Komashchuk",0,31,169,75,"Other","UKR",2024,"Summer","Fencing","Fencing Women's Sabre, Team","Brazil",0,1,1
56301,"Jung Seung-Hwa",1,43,180,80,"Other","KOR",2024,"Summer","Fencing","Fencing Men's epee, Team","Brazil",0,1,0
91918,"Pancho Paskov",1,30,178,77,"Other","BUL",2024,"Summer","Fencing","Fencing Men's Sabre, Individual","Brazil",0,0,0
6073,"Anton Alekseyevich Avdeyev",1,37,174,85,"Other","RUS",2024,"Summer","Fencing","Fencing Men's epee, Individual","Brazil",0,0,0
75301,"Henrique Tavian Pereira Marques",1,27,178,71,"Other","BRA",2024,"Summer","Fencing","Fencing Men's Foil, Team","Brazil",0,1,0
116514,"Sun Yujie",0,31,185,78,"Other","CHN",2024,"Summer","Fencing","Fencing Women's epee, Individual","Brazil",0,0,3
